x1,y1,z1,x2,y2,z2
1.02442,-2.69164,0.774138,-1.24423,0.158269,2.74393
1.80878,-2.59383,0.155078,-2.03078,0.698028,2.43085
1.41318,-3.0053,-0.411153,-1.63766,1.37569,2.61153
0.628829,-3.1031,0.207907,-0.851113,0.835931,2.92462
0.118871,-2.69893,0.907792,-0.373175,0.0320652,2.7947
0.993925,-2.8299,0.433298,-1.24227,0.534128,2.76982
0.601113,-3.08022,-0.222027,-0.839826,1.22995,2.75308
-0.273941,-2.94926,0.252467,0.029271,0.727891,2.77796
-0.79971,-2.87254,1.05582,0.556508,-0.0434131,2.98478
0.0627115,-2.9169,0.54369,-0.30792,0.455008,2.87362
-0.34574,-3.07567,-0.130385,0.100771,1.13633,2.75039
-1.20816,-3.0313,0.381744,0.965199,0.63791,2.86155
0.185301,-2.99204,1.13072,-0.392266,-0.0694568,3.18842
1.0091,-2.96381,0.557508,-1.23964,0.412021,2.94726
0.569729,-3.16833,-0.0840066,-0.829879,1.10073,2.88249
-0.254068,-3.19656,0.489209,0.0174927,0.61925,3.12364
0.10158,-2.70346,0.897137,-0.469997,0.0309324,2.77457
1.00072,-2.82534,0.46735,-1.33984,0.532248,2.76639
0.643624,-3.06804,-0.21088,-0.938338,1.22872,2.75465
-0.255512,-2.94616,0.218907,-0.0684919,0.727404,2.76284
-0.748799,-2.71755,0.786457,0.492078,0.155524,2.79907
0.087105,-2.96478,0.288304,-0.326671,0.733458,2.85956
-0.355102,-3.17489,-0.349444,0.132631,1.39053,2.79859
-1.19101,-2.92766,0.148709,0.95138,0.812593,2.7381
-0.803103,-2.87125,1.0501,0.540373,-0.0498974,2.99145
0.062415,-2.91803,0.543433,-0.307841,0.479027,2.8977
-0.341816,-3.08182,-0.131982,0.122284,1.14963,2.78954
-1.20733,-3.03504,0.37468,0.970498,0.620706,2.88328
0.181675,-2.99276,1.12767,-0.259942,0.0344429,3.16817
1.01411,-2.9615,0.567226,-1.10245,0.538481,2.95807
0.583583,-3.15673,-0.0831221,-0.673323,1.2091,2.84609
-0.248848,-3.18799,0.477322,0.169185,0.70506,3.05619
0.913859,-2.92662,1.11959,-0.816013,-0.0692978,3.16616
1.69256,-2.85685,0.489683,-1.62414,0.420641,2.82718
1.22825,-3.11668,-0.113082,-1.21544,1.11254,2.85286
0.449552,-3.18645,0.516821,-0.407313,0.622598,3.19185
1.04908,-3.20058,1.20339,-1.19527,-0.070635,3.52129
1.91321,-3.09628,0.702968,-1.97189,0.369678,3.06194
1.53945,-3.28834,0.0175263,-1.59131,1.07705,3.09655
0.675322,-3.39264,0.517949,-0.814695,0.636738,3.55591
-0.392117,-3.16447,1.12758,0.0910677,-0.0214235,3.31929
0.519721,-3.21336,0.710233,-0.792278,0.455763,3.31628
0.183793,-3.34447,-0.00836045,-0.413949,1.15537,3.19865
-0.728045,-3.29559,0.408986,0.469397,0.678181,3.20166
-1.44333,-3.10624,1.0893,1.06419,0.0217631,3.30407
-0.586442,-3.54907,0.81064,0.220855,0.447234,3.64434
-0.819713,-3.51671,0.0419054,0.467368,1.15956,3.36461
-1.6766,-3.07387,0.320569,1.3107,0.734085,3.02435
2.26221,-5.86905,2.08282,-2.62868,0.0377993,6.02935
3.09312,-5.52513,1.63636,-3.42183,0.484144,5.60543
2.81009,-5.7666,0.923612,-3.07761,1.20207,5.71731
1.97918,-6.11051,1.37008,-2.28447,0.755723,6.14123
