x1,y1,z1,x2,y2,z2
1.02267,-2.69448,0.76987,-0.905061,0.163874,2.75125
1.80671,-2.59729,0.150308,-1.68834,0.709676,2.44047
1.41078,-3.00923,-0.415346,-1.29054,1.38423,2.62252
0.626743,-3.10642,0.204216,-0.507255,0.838428,2.93331
0.892349,-2.4297,0.812144,-0.791119,0.0151613,2.55688
1.68861,-2.34392,0.206645,-1.5589,0.558976,2.20646
1.26686,-2.67151,-0.394379,-1.13029,1.23119,2.31056
0.470604,-2.7573,0.21112,-0.362506,0.687375,2.66098
0.834971,-2.42532,0.81812,-0.812078,0.146443,2.48483
1.65032,-2.33577,0.239147,-1.60586,0.69202,2.20151
1.24784,-2.65845,-0.377547,-1.17781,1.36555,2.29923
0.432496,-2.74799,0.201426,-0.384029,0.819973,2.58254
0.101775,-2.70043,0.90148,-0.0394468,0.0317393,2.79851
1.00243,-2.8258,0.475907,-0.90381,0.542263,2.78246
0.647509,-3.06384,-0.205111,-0.494783,1.23413,2.76181
-0.253149,-2.93846,0.220462,0.36958,0.723611,2.77785
-0.778602,-2.70164,0.888931,0.810829,0.160699,2.83028
0.0978587,-2.92584,0.453542,-0.0227341,0.709346,2.94062
-0.287669,-3.11072,-0.227344,0.408668,1.38223,2.85383
-1.16413,-2.88651,0.208044,1.24223,0.833585,2.74349
