x1,y1,z1,x2,y2,z2
-0.989997,3.54969,-0.469297,-0.90667,0.164438,2.75197
-1.77667,3.23263,-1.00655,-1.68931,0.710734,2.44044
-1.38105,3.40185,-1.68571,-1.29097,1.38505,2.62219
-0.594375,3.71892,-1.14846,-0.508328,0.838758,2.93372
0.76851,3.57728,-0.459806,0.850522,0.152843,2.81826
-0.0593674,3.62769,-1.02557,0.0263762,0.725086,2.85482
0.39011,3.56299,-1.68905,0.482947,1.38543,2.81116
1.21799,3.51258,-1.12328,1.30709,0.813186,2.7746
-0.859855,4.8862,-0.250228,-0.80428,-0.0702339,4.05103
-1.7161,4.70048,-0.740507,-1.64931,0.439583,3.86656
-1.30732,4.63545,-1.42977,-1.22954,1.12466,3.83698
-0.451079,4.82116,-0.939495,-0.384507,0.614843,4.02144
1.13667,5.2836,-0.357185,1.20317,0.0417809,4.55369
0.255621,5.49529,-0.789562,0.306727,0.472405,4.69142
0.574484,5.34604,-1.51238,0.631458,1.19398,4.54894
1.45554,5.13435,-1.08,1.5279,0.763352,4.41121
-1.02142,6.59641,-0.166624,-1.02647,-0.139765,5.89862
-1.94633,6.27369,-0.386649,-1.93658,0.10165,5.55013
-1.72642,6.16548,-1.15238,-1.69818,0.86363,5.45541
-0.801509,6.48821,-0.932356,-0.788079,0.622214,5.8039
