x1,y1,z1,x2,y2,z2
-3.5069,0.914405,-0.0841942,-1.13599,-0.1675,2.84396
-3.48303,0.0579411,-0.638969,-1.85343,0.374099,2.39678
-3.44594,0.501686,-1.32243,-1.45027,1.0486,2.56688
-3.46981,1.35815,-0.767654,-0.732839,0.506996,3.01407
-3.38428,1.53103,-0.0720541,-0.696061,-0.23062,3.08936
-3.56741,0.687114,-0.619047,-1.46495,0.327758,2.76527
-3.43189,1.10312,-1.30625,-1.00393,0.985288,2.80437
-3.24875,1.94704,-0.759257,-0.235039,0.42691,3.12846
-3.19156,2.21134,-0.0683085,0.0490228,-0.234031,3.26481
-3.49428,1.39739,-0.612321,-0.777992,0.314457,3.11242
-3.32175,1.79223,-1.29909,-0.330704,0.982107,3.08804
-3.01903,2.60618,-0.755073,0.49631,0.433618,3.24043
-3.71265,2.8039,-0.0477074,0.382213,-0.225285,4.11967
-4.0508,2.00411,-0.568563,-0.444337,0.292778,3.8821
-3.86947,2.38444,-1.2703,-0.018811,0.974904,3.88911
-3.53131,3.18423,-0.749442,0.807739,0.45684,4.12668
-3.1618,2.52213,0.140328,0.417505,-0.407951,3.48137
-3.26956,1.66544,-0.40162,-0.349734,0.130728,3.12194
-3.00105,2.05637,-1.07297,0.135648,0.766188,3.03821
-2.89329,2.91305,-0.531025,0.902887,0.227509,3.39764
